Crop,Year,Month,Price
Bajra,2013,January,131.6
Barley,2013,January,119.4
Castorseed,2013,January,83.7
Cotton,2013,January,91.8
Cotton (Meal/Cake),2013,January,109.2
Cotton Oil,2013,January,101.8
Gram,2013,January,134.0
Groundnut,2013,January,128.7
Groundnut Oil,2013,January,127.4
Jowar,2013,January,95.2
Jute,2013,January,111.5
Lentil,2013,January,119.8
Linseed,2013,January,133.6
Maize,2013,January,123.4
Mesta,2013,January,109.0
Moong,2013,January,116.9
Nigerseed,2013,January,116.1
Onion,2013,January,190.0
Paddy,2013,January,116.7
Palm oil,2013,January,93.0
Peas,2013,January,118.4
Potato,2013,January,142.3
Ragi,2013,January,159.7
Rajma,2013,January,149.2
Rapeseed & Mustard,2013,January,138.0
Rapeseed & Mustard (Meal/Cake),2013,January,165.3
Rapeseed & Mustard Oil,2013,January,116.2
Rice,2013,January,116.5
Safflower,2013,January,112.8
Sesamum,2013,January,159.3
Soya oil,2013,January,111.1
Soybean,2013,January,139.0
Sugarcane,2013,January,104.9
Sunflower,2013,January,115.0
Sunflower oil,2013,January,108.3
Tobacco,2013,January,104.0
Tomato,2013,January,88.3
Tur,2013,January,109.1
Urad,2013,January,96.5
Wheat,2013,January,121.6
Wheat Atta,2013,January,122.1
Bajra,2014,January,132.3
Barley,2014,January,123.9
Castorseed,2014,January,93.0
Cotton,2014,January,111.7
Cotton (Meal/Cake),2014,January,120.2
Cotton Oil,2014,January,99.5
Gram,2014,January,103.6
Groundnut,2014,January,100.7
Groundnut Oil,2014,January,91.2
Jowar,2014,January,100.8
Jute,2014,January,126.3
Lentil,2014,January,136.4
Linseed,2014,January,127.0
Maize,2014,January,120.1
Mesta,2014,January,122.0
Moong,2014,January,126.5
Nigerseed,2014,January,114.6
Onion,2014,January,163.3
Paddy,2014,January,131.1
Palm oil,2014,January,107.7
Peas,2014,January,103.4
Potato,2014,January,155.6
Ragi,2014,January,156.6
Rajma,2014,January,186.6
Rapeseed & Mustard,2014,January,120.4
Rapeseed & Mustard (Meal/Cake),2014,January,149.1
Rapeseed & Mustard Oil,2014,January,108.1
Rice,2014,January,125.6
Safflower,2014,January,108.2
Sesamum,2014,January,147.8
Soya oil,2014,January,106.1
Soybean,2014,January,157.8
Sugarcane,2014,January,124.3
Sunflower,2014,January,110.4
Sunflower oil,2014,January,100.9
Tobacco,2014,January,108.5
Tomato,2014,January,79.5
Tur,2014,January,118.1
Urad,2014,January,105.7
Wheat,2014,January,130.0
Wheat Atta,2014,January,127.3
Bajra,2015,January,125.0
Barley,2015,January,135.4
Castorseed,2015,January,94.9
Cotton,2015,January,86.5
Cotton (Meal/Cake),2015,January,119.5
Cotton Oil,2015,January,93.4
Gram,2015,January,107.5
Groundnut,2015,January,110.0
Groundnut Oil,2015,January,97.6
Jowar,2015,January,119.2
Jute,2015,January,136.8
Lentil,2015,January,166.8
Linseed,2015,January,129.0
Maize,2015,January,118.6
Mesta,2015,January,129.8
Moong,2015,January,159.1
Nigerseed,2015,January,138.8
Onion,2015,January,193.5
Paddy,2015,January,133.5
Palm oil,2015,January,94.9
Peas,2015,January,113.6
Potato,2015,January,137.5
Ragi,2015,January,160.6
Rajma,2015,January,157.8
Rapeseed & Mustard,2015,January,127.1
Rapeseed & Mustard (Meal/Cake),2015,January,166.4
Rapeseed & Mustard Oil,2015,January,116.8
Rice,2015,January,129.8
Safflower,2015,January,93.7
Sesamum,2015,January,125.5
Soya oil,2015,January,102.6
Soybean,2015,January,144.6
Sugarcane,2015,January,124.3
Sunflower,2015,January,108.0
Sunflower oil,2015,January,95.9
Tobacco,2015,January,113.6
Tomato,2015,January,131.3
Tur,2015,January,134.3
Urad,2015,January,131.6
Wheat,2015,January,126.3
Wheat Atta,2015,January,132.8
Bajra,2016,January,142.9
Barley,2016,January,138.5
Castorseed,2016,January,79.9
Cotton,2016,January,90.4
Cotton (Meal/Cake),2016,January,154.9
Cotton Oil,2016,January,97.1
Gram,2016,January,149.5
Groundnut,2016,January,123.3
Groundnut Oil,2016,January,110.0
Jowar,2016,January,115.4
Jute,2016,January,217.3
Lentil,2016,January,190.5
Linseed,2016,January,136.1
Maize,2016,January,133.8
Mesta,2016,January,173.2
Moong,2016,January,167.1
Nigerseed,2016,January,238.3
Onion,2016,January,184.3
Paddy,2016,January,135.8
Palm oil,2016,January,89.2
Peas,2016,January,120.5
Potato,2016,January,123.0
